intervals,notes,identification
"1,1,2,1,7",,Unknown
"1,1,2,2,6",,Unknown
"1,1,2,3,5",,Unknown
"1,1,2,4,4",,Unknown
"1,1,2,5,3",,Unknown
"1,1,2,6,2",,Unknown
"1,1,3,1,6",,Unknown
"1,1,3,2,5",,Unknown
"1,1,3,3,4",,Unknown
"1,1,3,4,3",,Unknown
"1,1,3,5,2",,Unknown
"1,1,4,1,5",,Unknown
"1,1,4,2,4",,Unknown
"1,1,4,3,3",,Unknown
"1,1,4,4,2",,Unknown
"1,1,5,1,4",,Unknown
"1,1,5,2,3",,Unknown
"1,1,5,3,2",,Unknown
"1,1,6,1,3",,Unknown
"1,1,6,2,2",,Unknown
"1,1,7,1,2",,Unknown
"1,2,1,2,6","C,Db,Eb,E,Gb","Diminished(add b2,#2)"
"1,2,1,3,5","C,Db,Eb,E,G","Major(add b2,#2)"
"4,4,1,2,1","C,E,Ab,A,B",Augmented7(add6)
"2,1,5,3,1","C,D,Eb,Ab,B",MinorMajor7(add 2) #5
"2,1,2,1,6","C,D,Eb,F,Gb","Diminished(add 2,4)"
"1,2,2,1,6","C,Db,Eb,F,Gb",Diminshed(add 4) b2
"2,2,2,5,1","C,D,E,Gb,B",Major7(add 2) b5
"3,4,1,2,2","C,Eb,G,Ab,Bb",Minor7 b6
"4,3,1,2,2","C,E,G,Ab,Bb",7 b6
"2,5,2,1,2","C,D,G,A,Bb",7sus2(add 6)
"1,2,3,1,5","C,Db,Eb,Gb,G",Minor #4 b2
"2,3,2,4,1","C,D,F,G,B",Major7sus2sus4
"1,2,3,3,3","C,Db,Eb,Gb,A",Fully diminished b2
"1,2,3,4,2","C,Db,Eb,Gb,Bb",Minor7 b5 #2
"4,1,2,4,1","C,E,F,G,B",Major7(add 4)
"1,2,4,2,3","C,Db,Eb,G,A",Minor6 #2
"1,2,4,3,2","C,Db,Eb,G,Bb",Minor7 #2
"3,1,2,5,1","C,Eb,E,Gb,B",Major7 b5 #2
"2,5,2,2,1","C,D,G,A,B",Major7sus2(add 6)
"3,1,3,4,1","C,Eb,E,G,B",Major7 #2
"4,3,1,3,1","C,E,G,Ab,B",Major7 b6
"5,2,1,3,1","C,F,G,Ab,B",Major7sus4 b6
"1,3,2,1,5","C,Db,E,Gb,G",Major #4 b2
"3,2,2,4,1","C,Eb,F,G,B",MinorMajor7(add 4)
"3,3,1,3,2","C,Eb,Gb,G,Bb",Minor7 #4
"4,2,1,3,2","C,E,Gb,G,Bb",7 #4
"1,3,3,1,4","C,Db,E,G,Ab",Major b2 b6
"1,3,3,2,3","C,Db,E,G,A",Major6 b2
"1,3,3,3,2","C,Db,E,G,Bb",7 b2
"3,4,2,2,1","C,Eb,G,A,B",MinorMajor7(add 6)
"4,2,1,4,1","C,E,Gb,G,B",Major7 #4
"2,2,3,1,4","C,D,E,G,Ab",Major(add 2) b6
"4,2,3,2,1","C,E,Gb,A,B",Major7(add6) b5
"4,3,2,2,1","C,E,G,A,B",Major7(add 6)
"2,2,2,1,5","C,D,E,Gb,G",Major(add 2) #4
"2,2,2,2,4","C,D,E,Gb,Ab",Augmented(add 2) #4
"2,2,2,3,3","C,D,E,Gb,A",7(add 2)
"2,2,3,2,3","C,D,E,G,A",Major(add 2)(add 6)
